,,,,,
,,,,,
,,,,,
16,2018-05-31,汝林科技,天使轮,300万,[u'\u672a\u900f\u9732']
17,2018-05-31,南辰北斗,Pre-A轮,数百万,[u'\u672a\u900f\u9732']
18,2018-05-31,奥美医疗,IPO上市,5.98亿,[u'\u672a\u900f\u9732']
19,2018-05-31,黄埔区块链培训学院,天使轮,未透露,[[u'\u8681\u7c73\u521b\u6295']]
,,,,,
0,2018-05-31,小创科技,A轮,未透露,[[u'\u6d59\u6c5f\u91d1\u63a7\u8d44\u672c']]
1,2018-05-31,互道,B轮,数千万,"[[u'\u817e\u8baf'], [u'\u5149\u901f\u4e2d\u56fd']]"
2,2018-05-31,万读,天使轮,未透露,"[[u'\u82f1\u8c0a\u8d44\u672c'], [u'\u661f\u701a\u8d44\u672c']]"
3,2018-05-31,导学教育,C轮,未透露,[u'\u672a\u900f\u9732']
4,2018-05-31,呜咔熊,Pre-A轮,1000万,[[u'\u4eac\u5317\u6295\u8d44']]
5,2018-05-31,百药智达,战略投资,未透露,[[u'\u9886\u52bf\u6295\u8d44']]
6,2018-05-31,奥哲网络,A+轮,5000万,[[u'\u963f\u91cc\u5df4\u5df4']]
7,2018-05-31,RoboSpace,Pre-A轮,500万,[[u'\u84dd\u5e3d\u4e92\u52a8']]
8,2018-05-31,PeckShield派盾科技,天使轮,数千万,[[u'\u9ad8\u6995\u8d44\u672c']]
9,2018-05-31,美餐网,D+轮,数亿,[[u'\u9633\u5149\u4fdd\u9669']]
10,2018-05-31,柑趣网络,天使轮,数百万,[u'\u672a\u900f\u9732']
11,2018-05-31,懒财金服,C轮,数亿,[u'\u672a\u900f\u9732']
12,2018-05-31,富数科技,A+轮,数亿,"[[u'\u4f2f\u85dc\u521b\u6295'], [u'\u8fbe\u6cf0\u8d44\u672c'], [u'\u9ea6\u8fbe\u6570\u5b57'], [u'\u6668\u5c71\u8d44\u672c']]"
13,2018-05-31,易思汇,A轮,数千万,"[[u'IDG\u8d44\u672c'], [u'\u771f\u683c\u57fa\u91d1']]"
14,2018-05-31,Zilliz,A轮,1000万,"[[u'\u677e\u79be\u8d44\u672c'], [u'\u4e91\u542f\u8d44\u672c'], [u'\u6668\u5174\u8d44\u672c'], [u'\u9756\u4e9a\u8d44\u672c']]"
15,2018-05-31,小店宝,B轮,1亿,[[u'\u51ef\u8f89\u57fa\u91d1']]
16,2018-05-31,赛福基因,A轮,数千万,"[[u'\u521b\u89c1\u8d44\u672c'], [u'\u51ef\u76c8\u8d44\u672c'], [u'\u56fd\u5bb6\u4e2d\u5c0f\u4f01\u4e1a\u53d1\u5c55\u57fa\u91d1\uff08\u56fd\u4e2d\u521b\u6295\uff09']]"
17,2018-05-31,若饭,天使轮,1000万,[u'\u672a\u900f\u9732']
18,2018-05-31,imToken,A轮,1000万,[[u'IDG\u8d44\u672c']]
19,2018-05-31,23魔方,B+轮,6200万,"[[u'\u672c\u8349\u8d44\u672c'], [u'\u8fb0\u5fb7\u8d44\u672c'], [u'\u96c5\u60e0\u7cbe\u51c6\u533b\u7597\u57fa\u91d1'], [u'\u8f6f\u94f6\u4e2d\u56fd'], [u'\u7ecf\u7eac\u4e2d\u56fd']]"
,,,,,
0,2018-05-31,YOGO机器人,A+轮,未透露,"[[u'IDG\u8d44\u672c'], [u'\u771f\u683c\u57fa\u91d1']]"
1,2018-05-31,商汤科技SenseTime,C+轮,6.2亿,"[[u'\u94f6\u6e56\u6295\u8d44'], [u'Tiger\u8001\u864e\u57fa\u91d1(\u4e2d\u56fd)'], [u'\u539a\u6734\u57fa\u91d1'], [u'\u9ad8\u901aQualcomm Ventures'], [u'\u5168\u660e\u661f\u6295\u8d44All-Stars Investment'], [u'\u6df1\u521b\u6295'], [u'\u4fdd\u5229\u8d44\u672c'], [u'\u4e2d\u94f6\u6295\u8d44'], [u'\u5bcc\u8fbe\u6295\u8d44Fidelity Investments']]"
2,2018-05-31,耐能Kneron,A+轮,1800万,[[u'Horizons Ventures\u7ef4\u6e2f\u6295\u8d44']]
3,2018-05-31,标准共识,天使轮,1000万,"[[u'\u955c\u6e56\u8d44\u672c'], [u'\u8282\u70b9\u8d44\u672c'], [u'\u7b56\u6e90\u521b\u6295'], [u'\u4fe1\u5929\u521b\u6295'], [u'LinkVC\u8fde\u63a5\u8d44\u672c']]"
4,2018-05-30,Fantomcoin,战略投资,未透露,"[[u'\u8282\u70b9\u8d44\u672c'], [u'Block VC'], [u'\u516b\u7ef4\u8d44\u672c'], [u'DFund']]"
5,2018-05-30,趣吧,战略投资,未透露,[[u'123RF']]
6,2018-05-30,MO9摩酒,A轮,未透露,[[u'\u9053\u751f\u8d44\u672c']]
7,2018-05-30,伟达金科,战略投资,3.2亿,"[[u'\u9ad8\u4f1f\u8fbe\u8f6f\u4ef6'], [u'\u8682\u8681\u91d1\u670d(\u963f\u91cc\u5df4\u5df4)']]"
8,2018-05-30,夲宫PavoMea,Pre-A轮,1000万,"[[u'\u4e5d\u5408\u521b\u6295'], [u'\u8001\u9e70\u57fa\u91d1']]"
9,2018-05-30,我来修修,天使轮,500万,[u'\u672a\u900f\u9732']
10,2018-05-30,江中食疗,战略投资,未透露,[[u'\u665f\u9053\u6295\u8d44']]
11,2018-05-30,探境科技,A轮,数千万,"[[u'\u9669\u5cf0\u957f\u9752'], [u'\u718a\u732b\u8d44\u672c'], [u'\u4e2d\u82af\u805a\u6e90\u8d44\u672c'], [u'\u542f\u8fea\u521b\u6295'], [u'\u6d2a\u6cf0\u57fa\u91d1'], [u'\u4eac\u9053\u57fa\u91d1']]"
12,2018-05-30,汉鲲智能,Pre-A轮,1000万,[[u'\u5fb7\u4e7e\u6295\u8d44']]
13,2018-05-30,ForwardX,A+轮,1000万,[[u'\u9f0e\u6656\u6295\u8d44']]
14,2018-05-30,CarBlock,Pre-A轮,未透露,[u'\u672a\u900f\u9732']
15,2018-05-30,充电加,天使轮,数百万,[[u'\u9876\u5546\u6295\u8d44']]
16,2018-05-30,约肯机器人,Pre-A轮,未透露,[u'\u672a\u900f\u9732']
17,2018-05-30,宇钛科技,天使轮,200万,[[u'\u4e2d\u79d1\u521b\u661f']]
18,2018-05-30,美丽策,A轮,数百万,[u'\u672a\u900f\u9732']
19,2018-05-30,OSTAY,Pre-A轮,1000万,[[u'\u82f1\u8bfa\u5929\u4f7f\u57fa\u91d1']]
,,,,,
0,2018-05-30,植观,B轮,数千万,"[[u'\u541b\u8054\u8d44\u672c'], [u'\u7ecf\u7eac\u4e2d\u56fd'], [u'\u5cf0\u745e\u8d44\u672c']]"
1,2018-05-30,西格数据,Pre-A轮,1000万,"[[u'\u5143\u79be\u539f\u70b9\u521b\u6295'], [u'\u82cf\u5927\u5929\u5bab\u521b\u6295']]"
2,2018-05-30,纸去哪了,天使轮,500万,[[u'\u6a2a\u5e97\u8d44\u672c']]
3,2018-05-30,Biendata,天使轮,未透露,[[u'DeepTech\u6df1\u79d1\u6280']]
4,2018-05-30,中通快递,战略投资,13.8亿,"[[u'\u83dc\u9e1f\u7f51\u7edc(\u963f\u91cc\u5df4\u5df4)'], [u'\u963f\u91cc\u5df4\u5df4']]"
5,2018-05-29,多彩旅游,天使轮,240万,[u'\u672a\u900f\u9732']
6,2018-05-29,21世纪教育,IPO上市,未透露,[u'\u672a\u900f\u9732']
7,2018-05-29,ForwardX,战略投资,800万,[u'\u672a\u900f\u9732']
8,2018-05-29,天津昂赛,战略投资,1736万,[[u'\u6c49\u6c0f\u8054\u5408']]
9,2018-05-29,搭搭云,A轮,1000万,[u'\u672a\u900f\u9732']
10,2018-05-29,一起智能,A轮,数千万,[[u'\u4e94\u5cb3\u8d44\u672c']]
11,2018-05-29,我在家,Pre-B轮,数亿,"[[u'\u548c\u7389\u8d44\u672c'], [u'\u4eca\u65e5\u8d44\u672c'], [u'\u96f2\u4e5d\u8d44\u672c']]"
12,2018-05-29,佰邦达科技,A+轮,4000万,[[u'\u4f17\u6656\u8d44\u672c']]
13,2018-05-29,抓饭,天使轮,500万,[u'\u672a\u900f\u9732']
14,2018-05-29,创腾科技,Pre-A轮,数千万,[[u'\u534e\u6cf0\u7d2b\u91d1-\u534e\u6cf0\u8bc1\u5238']]
15,2018-05-29,万达商业地产,战略投资,95亿,[[u'\u878d\u521b\u4e2d\u56fd']]
16,2018-05-29,团建队长,种子轮,100万,[[u'\u9876\u5546\u6295\u8d44']]
17,2018-05-29,优美墅,战略投资,数千万,[[u'\u534e\u8000\u8d44\u672c']]
18,2018-05-29,优点科技,A轮,1.4亿,"[[u'\u5bcc\u58eb\u5eb7'], [u'\u5317\u6781\u5149\u521b\u6295']]"
19,2018-05-29,卤豆,Pre-A轮,1000万,[u'\u672a\u900f\u9732']
,,,,,
0,2018-05-29,valpromise,战略投资,未透露,[[u'\u5206\u5e03\u5f0f\u8d44\u672c']]
1,2018-05-29,链博,天使轮,1000万,"[[u'\u4e86\u5f97\u8d44\u672c'], [u'\u542f\u8fea\u4e4b\u661f\uff08\u542f\u8fea\u5b75\u5316\u5668\uff09']]"
2,2018-05-29,吃托邦,天使轮,1000万,[[u'\u9053\u751f\u8d44\u672c']]
3,2018-05-29,睿魔智能,天使轮,数千万,"[[u'\u601d\u7279\u5a01\u7535\u5b50'], [u'\u6c34\u6728\u8d44\u672c']]"
4,2018-05-29,chic原醉,B轮,5000万,"[[u'\u5fae\u5f71\u8d44\u672c(\u5fae\u5f71\u65f6\u4ee3)'], [u'\u534e\u6620\u8d44\u672c'], [u'\u524d\u6d77\u6bcd\u57fa\u91d1']]"
5,2018-05-29,杭州智诠,天使轮,1000万,[[u'\u534e\u8000\u8d44\u672c']]
6,2018-05-29,找罐车,Pre-A轮,数百万,"[[u'\u521b\u4e1a\u90a6'], [u'SIG\u6d77\u7eb3\u4e9a\u6d32']]"
7,2018-05-29,原创宝,Pre-A轮,500万,[u'\u672a\u900f\u9732']
8,2018-05-29,小打卡,A+轮,未透露,"[[u'\u6668\u5174\u8d44\u672c'], [u'IDG\u8d44\u672c']]"
9,2018-05-29,yalla,B轮,数千万,"[[u'SIG\u6d77\u7eb3\u4e9a\u6d32'], [u'\u5170\u99a8\u4e9a\u6d32']]"
10,2018-05-29,递名片,A轮,1250万,"[[u'IDG\u8d44\u672c'], [u'\u771f\u683c\u57fa\u91d1'], [u'\u8109\u8109']]"
11,2018-05-28,迅翼卫通,天使轮,未透露,[u'\u672a\u900f\u9732']
12,2018-05-28,东华诚信,战略投资,12.66亿,[[u'\u817e\u8baf']]
13,2018-05-28,飞博教育,战略投资,数千万,[[u'\u9ad8\u601d\u6559\u80b2']]
14,2018-05-28,稷以科技,天使轮,未透露,"[[u'\u6717\u7a0b\u8d44\u672c'], [u'\u7d2b\u7af9\u521b\u6295']]"
15,2018-05-28,欣捷高新,新三板定增,2300万,[u'\u672a\u900f\u9732']
16,2018-05-28,建龙微纳,新三板定增,4080万,[u'\u672a\u900f\u9732']
17,2018-05-28,势必可赢,B轮,数千万,[[u'IDG\u8d44\u672c']]
18,2018-05-28,先导药物,B轮,2.5亿,"[[u'\u71d5\u56ed\u521b\u65b0\u6295'], [u'\u9f0e\u6656\u6295\u8d44'], [u'\u62fe\u7389\u8d44\u672c']]"
19,2018-05-28,优导,天使轮,1000万,[[u'\u653b\u58f3\u7269\u8054']]
,,,,,
0,2018-05-28,ECOVACS科沃斯机器人,IPO上市,8.03亿,[u'\u672a\u900f\u9732']
1,2018-05-28,单立人喜剧,A轮,数千万,[[u'\u4f18\u9177']]
2,2018-05-28,执御信息,C轮,数亿,"[[u'\u7ea2\u6749\u8d44\u672c\u4e2d\u56fd'], [u'\u541b\u8054\u8d44\u672c'], [u'\u9f0e\u6656\u6295\u8d44'], [u'\u5170\u99a8\u4e9a\u6d32'], [u'\u5e73\u5b89\u521b\u65b0\u6295\u8d44\u57fa\u91d1']]"
3,2018-05-28,蚂蚁金服,F轮-上市前,90亿,"[[u'\u94f6\u6e56\u6295\u8d44'], [u'\u7ea2\u6749\u8d44\u672c\u4e2d\u56fd'], [u'GIC\u65b0\u52a0\u5761\u653f\u5e9c\u6295\u8d44\u516c\u53f8'], [u'\u52a0\u62ff\u5927\u517b\u8001\u57fa\u91d1(CPPIB)'], [u'General Atlantic\u6cdb\u5927\u897f\u6d0b\u6295\u8d44'], [u'\u534e\u5e73\u6295\u8d44'], [u'Temasek\u6de1\u9a6c\u9521'], [u'BlackRock'], [u'\u51ef\u96f7\u4e9a\u6d32\u57fa\u91d1']]"
4,2018-05-28,一本财经,天使轮,1000万,"[[u'\u82f1\u8bfa\u5929\u4f7f\u57fa\u91d1'], [u'\u6b4c\u8005\u8d44\u672c'], [u'\u5927\u6cb3\u521b\u6295']]"
5,2018-05-28,东华软件,战略投资,12.66亿,[[u'\u817e\u8baf']]
6,2018-05-27,涌泉金融,战略投资,未透露,[u'\u672a\u900f\u9732']
7,2018-05-27,情咖FM,A轮,数千万,[[u'\u6d59\u5546\u521b\u6295']]
8,2018-05-26,力码科技,天使轮,未透露,[[u'\u4e39\u534e\u8d44\u672c']]
9,2018-05-26,博理科技,天使轮,未透露,[u'\u672a\u900f\u9732']
10,2018-05-26,力石科技,B轮,未透露,[[u'\u76db\u4e16\u6295\u8d44']]
11,2018-05-26,新时代区块链研究院,种子轮,150万,[[u'\u65f6\u523b\u9001']]
12,2018-05-25,发票儿,A+轮,未透露,"[[u'\u4e39\u534e\u8d44\u672c'], [u'\u666e\u601d\u8d44\u672c']]"
13,2018-05-25,北旺农牧,新三板定增,3998万,[u'\u672a\u900f\u9732']
14,2018-05-25,涛生医药,新三板定增,2314万,[u'\u672a\u900f\u9732']
15,2018-05-25,特利尔,新三板定增,3900万,[u'\u672a\u900f\u9732']
16,2018-05-25,美美咖,A轮,未透露,[u'\u672a\u900f\u9732']
17,2018-05-25,中国武夷,战略投资,未透露,[u'\u672a\u900f\u9732']
18,2018-05-25,58车贷,天使轮,未透露,[[u'\u6052\u6cf0\u5b9e\u8fbe']]
19,2018-05-25,多抓鱼,B轮,未透露,[[u'\u817e\u8baf']]
,,,,,
0,2018-05-25,新特汽车,A轮,数亿,[[u'\u9f0e\u8f89\u6295\u8d44']]
1,2018-05-25,编程猫,C轮,3亿,"[[u'\u677e\u79be\u8d44\u672c'], [u'\u65b0\u4eac\u62a5'], [u'\u62db\u94f6\u56fd\u9645'], [u'\u5c71\u6c34\u521b\u6295']]"
2,2018-05-25,嘟嘟科技,A轮,数千万,[[u'\u58f9\u53f7\u8d44\u672c']]
3,2018-05-25,ContentBox,天使轮,未透露,[[u'\u6c88\u6ce2']]
4,2018-05-25,联方云天,A+轮,3000万,[[u'\u91d1\u6c99\u6c5f\u8054\u5408\u8d44\u672c']]
5,2018-05-25,美管加,A轮,5000万,"[[u'\u4eac\u4e1c\u91d1\u878d'], [u'\u4eac\u4e1c']]"
6,2018-05-25,Brii Biosciences,战略投资,2.6亿,"[[u'\u901a\u548c\u6bd3\u627f'], [u'\u535a\u88d5\u8d44\u672c'], [u'\u4e91\u950b\u57fa\u91d1'], [u'Arch Venture Partners'], [u'\u7ea2\u6749\u8d44\u672c\u4e2d\u56fd'], [u'\u84dd\u9a70\u521b\u6295']]"
7,2018-05-25,森央娱乐,天使轮,800万,[u'\u672a\u900f\u9732']
8,2018-05-25,Smart up,战略投资,500万,[u'\u672a\u900f\u9732']
9,2018-05-25,Hashgard,战略投资,数千万,"[[u'\u8282\u70b9\u8d44\u672c'], [u'\u5cf0\u745e\u8d44\u672c'], [u'\u5206\u5e03\u5f0f\u8d44\u672c']]"
10,2018-05-25,Simple Mart,战略投资,45亿,[u'\u672a\u900f\u9732']
11,2018-05-25,盖饭内容工场,A轮,2400万,"[[u'\u4e09\u884c\u8d44\u672c'], [u'\u5c71\u6c34\u521b\u6295']]"
12,2018-05-25,我行我宿,A+轮,未透露,[[u'\u5206\u5e03\u5f0f\u8d44\u672c']]
13,2018-05-25,ZG.COM,A轮,1000万,[[u'\u4e50\u4e1c\u8d44\u672c']]
14,2018-05-24,云思创智,天使轮,未透露,"[[u'\u57fa\u77f3\u8d44\u672c'], [u'\u8fbe\u6668\u521b\u6295']]"
15,2018-05-24,上海优链,Pre-A轮,1000万,[u'\u672a\u900f\u9732']
16,2018-05-24,猫殿下,Pre-A轮,1000万,"[[u'\u6e90\u661f\u8d44\u672c'], [u'\u6311\u6218\u8005\u8d44\u672c']]"
17,2018-05-24,硅丽设计,天使轮,未透露,"[[u'\u5e2e\u5b9e\u8d44\u672c'], [u'\u9f0e\u805a\u6295\u8d44']]"
18,2018-05-24,蓓明医疗,天使轮,600万,[u'\u672a\u900f\u9732']
